ano_mes,mes_desc,faixa_etaria,sexo_desc,regiao,total_pessoas,qtd_procurou_saude,qtd_internado,qtd_plano_saude,qtd_sintomaticos,pct_procurou_saude,pct_internado,pct_plano_saude,pct_sintomaticos,taxa_internacao_sintomaticos
202009,Setembro/2020,0-17,Feminino,Centro-Oeste,4703,35,0,85,91,0.74,0.0,1.81,1.93,0.0
202009,Setembro/2020,0-17,Masculino,Centro-Oeste,5066,37,0,87,95,0.73,0.0,1.72,1.88,0.0
202009,Setembro/2020,18-29,Feminino,Centro-Oeste,3382,76,1,85,115,2.25,0.03,2.51,3.4,0.87
202009,Setembro/2020,18-29,Masculino,Centro-Oeste,3386,48,0,100,96,1.42,0.0,2.95,2.84,0.0
202009,Setembro/2020,30-39,Feminino,Centro-Oeste,3173,65,0,87,123,2.05,0.0,2.74,3.88,0.0
202009,Setembro/2020,30-39,Masculino,Centro-Oeste,2883,37,0,89,78,1.28,0.0,3.09,2.71,0.0
202009,Setembro/2020,40-49,Feminino,Centro-Oeste,3287,60,1,73,119,1.83,0.03,2.22,3.62,0.84
202009,Setembro/2020,40-49,Masculino,Centro-Oeste,2866,45,3,93,79,1.57,0.1,3.24,2.76,3.8
202009,Setembro/2020,50-59,Feminino,Centro-Oeste,3027,69,1,60,117,2.28,0.03,1.98,3.87,0.85
202009,Setembro/2020,50-59,Masculino,Centro-Oeste,2551,40,2,80,82,1.57,0.08,3.14,3.21,2.44
202009,Setembro/2020,60-69,Feminino,Centro-Oeste,2068,42,1,25,73,2.03,0.05,1.21,3.53,1.37
202009,Setembro/2020,60-69,Masculino,Centro-Oeste,1800,37,2,30,70,2.06,0.11,1.67,3.89,2.86
202009,Setembro/2020,70+,Feminino,Centro-Oeste,1524,24,2,16,49,1.57,0.13,1.05,3.22,4.08
202009,Setembro/2020,70+,Masculino,Centro-Oeste,1297,21,0,22,42,1.62,0.0,1.7,3.24,0.0
202009,Setembro/2020,0-17,Feminino,Nordeste,15379,124,1,404,351,0.81,0.01,2.63,2.28,0.28
202009,Setembro/2020,0-17,Masculino,Nordeste,15751,94,0,441,324,0.6,0.0,2.8,2.06,0.0
