ano_mes,mes_desc,faixa_etaria,sexo_desc,regiao,escolaridade_desc,total_pessoas,qtd_ficou_em_casa,qtd_reduziu_contato,qtd_vida_normal,qtd_trabalhou,qtd_trabalho_remoto,qtd_sintomatico_trabalhando,pct_ficou_em_casa,pct_reduziu_contato,pct_vida_normal,pct_trabalho_remoto,pct_sintomatico_trabalhando
202009,Setembro/2020,0-17,Masculino,Centro-Oeste,Fundamental incompleto,2771,0,17,0,40,31,2,0.0,0.61,0.0,77.5,0.07
202009,Setembro/2020,0-17,Feminino,Centro-Oeste,Sem instrução,1311,0,6,0,0,0,0,0.0,0.46,0.0,0.0,0.0
202009,Setembro/2020,0-17,Feminino,Centro-Oeste,Fundamental completo,84,0,1,0,5,5,0,0.0,1.19,0.0,100.0,0.0
202009,Setembro/2020,0-17,Masculino,Centro-Oeste,Médio incompleto,724,0,1,0,110,103,2,0.0,0.14,0.0,93.64,0.28
202009,Setembro/2020,0-17,Masculino,Centro-Oeste,Sem instrução,1414,0,2,0,0,0,0,0.0,0.14,0.0,0.0,0.0
202009,Setembro/2020,0-17,Feminino,Centro-Oeste,Superior incompleto,6,0,0,0,3,3,0,0.0,0.0,0.0,100.0,0.0
202009,Setembro/2020,0-17,Feminino,Centro-Oeste,Médio completo,33,0,0,0,5,3,0,0.0,0.0,0.0,60.0,0.0
202009,Setembro/2020,0-17,Masculino,Centro-Oeste,Médio completo,34,0,0,0,9,9,0,0.0,0.0,0.0,100.0,0.0
202009,Setembro/2020,0-17,Masculino,Centro-Oeste,Superior incompleto,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
202009,Setembro/2020,0-17,Feminino,Centro-Oeste,Médio incompleto,723,0,5,0,52,52,4,0.0,0.69,0.0,100.0,0.55
202009,Setembro/2020,0-17,Feminino,Centro-Oeste,Fundamental incompleto,2546,0,4,0,13,12,0,0.0,0.16,0.0,92.31,0.0
202009,Setembro/2020,0-17,Masculino,Centro-Oeste,Fundamental completo,119,0,1,0,9,9,0,0.0,0.84,0.0,100.0,0.0
202009,Setembro/2020,18-29,Masculino,Centro-Oeste,Pós-graduação,40,1,0,0,33,34,0,2.5,0.0,0.0,103.03,0.0
202009,Setembro/2020,18-29,Masculino,Centro-Oeste,Superior completo,362,0,6,0,282,285,6,0.0,1.66,0.0,101.06,1.66
202009,Setembro/2020,18-29,Feminino,Centro-Oeste,Fundamental completo,126,0,1,0,39,42,0,0.0,0.79,0.0,107.69,0.0
202009,Setembro/2020,18-29,Masculino,Centro-Oeste,Sem instrução,21,0,0,0,4,4,0,0.0,0.0,0.0,100.0,0.0
202009,Setembro/2020,18-29,Feminino,Centro-Oeste,Sem instrução,11,0,0,0,1,1,0,0.0,0.0,0.0,100.0,0.0
202009,Setembro/2020,18-29,Masculino,Centro-Oeste,Fundamental completo,158,0,0,0,109,111,1,0.0,0.0,0.0,101.83,0.63
