ano_mes,mes_desc,faixa_etaria,sexo_desc,cor_raca_desc,escolaridade_desc,total_pessoas,qtd_trabalhou,qtd_trabalho_remoto,qtd_bolsa_familia,qtd_auxilio_emergencial,qtd_sintomaticos,pct_trabalhou,pct_trabalho_remoto,pct_bolsa_familia,pct_auxilio_emergencial,pct_sintomaticos
202009,Setembro/2020,0-17,Feminino,Indígena,Fundamental completo,3,0,0,1,0,0,0.0,0.0,33.33,0.0,0.0
202009,Setembro/2020,0-17,Feminino,Branca,Fundamental completo,235,8,6,14,14,4,3.4,75.0,5.96,5.96,1.7
202009,Setembro/2020,0-17,Feminino,Indígena,Médio incompleto,20,0,0,2,0,0,0.0,0.0,10.0,0.0,0.0
202009,Setembro/2020,0-17,Feminino,Ignorado,Médio incompleto,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
202009,Setembro/2020,0-17,Feminino,Amarela,Médio completo,3,0,0,0,1,0,0.0,0.0,0.0,33.33,0.0
202009,Setembro/2020,0-17,Feminino,Preta,Sem instrução,638,0,0,71,50,8,0.0,0.0,11.13,7.84,1.25
202009,Setembro/2020,0-17,Feminino,Branca,Sem instrução,5706,0,0,435,456,115,0.0,0.0,7.62,7.99,2.02
202009,Setembro/2020,0-17,Feminino,Branca,Médio incompleto,2500,189,155,228,194,51,7.56,82.01,9.12,7.76,2.04
202009,Setembro/2020,0-17,Feminino,Indígena,Sem instrução,49,0,0,3,3,5,0.0,0.0,6.12,6.12,10.2
202009,Setembro/2020,0-17,Feminino,Parda,Médio incompleto,3459,199,160,303,232,72,5.75,80.4,8.76,6.71,2.08
202009,Setembro/2020,0-17,Feminino,Branca,Superior incompleto,35,9,9,1,5,0,25.71,100.0,2.86,14.29,0.0
202009,Setembro/2020,0-17,Feminino,Amarela,Sem instrução,53,0,0,4,6,1,0.0,0.0,7.55,11.32,1.89
202009,Setembro/2020,0-17,Feminino,Parda,Superior incompleto,32,4,4,5,3,1,12.5,100.0,15.63,9.38,3.13
202009,Setembro/2020,0-17,Feminino,Preta,Fundamental completo,55,1,1,5,2,0,1.82,100.0,9.09,3.64,0.0
202009,Setembro/2020,0-17,Feminino,Preta,Médio completo,19,0,1,1,2,0,0.0,0.0,5.26,10.53,0.0
202009,Setembro/2020,0-17,Feminino,Amarela,Médio incompleto,32,1,1,3,2,1,3.13,100.0,9.38,6.25,3.13
202009,Setembro/2020,0-17,Feminino,Branca,Médio completo,131,16,14,8,7,2,12.21,87.5,6.11,5.34,1.53
202009,Setembro/2020,0-17,Feminino,Ignorado,Fundamental incompleto,8,0,0,1,0,0,0.0,0.0,12.5,0.0,0.0
202009,Setembro/2020,0-17,Feminino,Preta,Fundamental incompleto,1559,7,6,163,107,29,0.45,85.71,10.46,6.86,1.86
202009,Setembro/2020,0-17,Feminino,Parda,Fundamental incompleto,13604,72,34,1121,870,257,0.53,47.22,8.24,6.4,1.89
202009,Setembro/2020,0-17,Feminino,Parda,Sem instrução,6179,1,0,481,384,147,0.02,0.0,7.78,6.21,2.38
202009,Setembro/2020,0-17,Feminino,Indígena,Fundamental incompleto,113,3,0,10,8,4,2.65,0.0,8.85,7.08,3.54
202009,Setembro/2020,0-17,Feminino,Amarela,Fundamental incompleto,107,0,0,8,6,3,0.0,0.0,7.48,5.61,2.8
202009,Setembro/2020,0-17,Feminino,Preta,Médio incompleto,474,22,22,53,37,5,4.64,100.0,11.18,7.81,1.05
202009,Setembro/2020,0-17,Feminino,Parda,Médio completo,167,21,20,10,7,4,12.57,95.24,5.99,4.19,2.4
202009,Setembro/2020,0-17,Feminino,Branca,Fundamental incompleto,9337,51,25,885,714,143,0.55,49.02,9.48,7.65,1.53
202009,Setembro/2020,0-17,Feminino,Parda,Fundamental completo,412,15,8,34,30,7,3.64,53.33,8.25,7.28,1.7
202009,Setembro/2020,0-17,Feminino,Amarela,Fundamental completo,4,0,0,1,0,0,0.0,0.0,25.0,0.0,0.0
202009,Setembro/2020,0-17,Feminino,Ignorado,Sem instrução,8,0,0,0,2,0,0.0,0.0,0.0,25.0,0.0
202009,Setembro/2020,0-17,Feminino,Preta,Superior incompleto,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
202009,Setembro/2020,0-17,Feminino,Amarela,Superior incompleto,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
202009,Setembro/2020,0-17,Masculino,Branca,Sem instrução,5851,0,0,401,460,113,0.0,0.0,6.85,7.86,1.93
202009,Setembro/2020,0-17,Masculino,Preta,Médio incompleto,442,55,47,44,29,8,12.44,85.45,9.95,6.56,1.81
202009,Setembro/2020,0-17,Masculino,Ignorado,Fundamental incompleto,6,0,0,2,0,0,0.0,0.0,33.33,0.0,0.0
202009,Setembro/2020,0-17,Masculino,Preta,Médio completo,21,3,3,1,0,0,14.29,100.0,4.76,0.0,0.0
202009,Setembro/2020,0-17,Masculino,Branca,Fundamental completo,291,20,17,26,23,4,6.87,85.0,8.93,7.9,1.37
202009,Setembro/2020,0-17,Masculino,Branca,Fundamental incompleto,9794,119,65,865,713,163,1.22,54.62,8.83,7.28,1.66
202009,Setembro/2020,0-17,Masculino,Parda,Médio incompleto,3319,371,277,235,225,60,11.18,74.66,7.08,6.78,1.81
202009,Setembro/2020,0-17,Masculino,Preta,Fundamental incompleto,1745,26,21,166,105,34,1.49,80.77,9.51,6.02,1.95
202009,Setembro/2020,0-17,Masculino,Parda,Médio completo,163,31,23,10,14,2,19.02,74.19,6.13,8.59,1.23
202009,Setembro/2020,0-17,Masculino,Indígena,Fundamental incompleto,115,1,0,5,8,4,0.87,0.0,4.35,6.96,3.48
202009,Setembro/2020,0-17,Masculino,Indígena,Fundamental completo,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
202009,Setembro/2020,0-17,Masculino,Indígena,Sem instrução,56,0,0,5,3,1,0.0,0.0,8.93,5.36,1.79
202009,Setembro/2020,0-17,Masculino,Indígena,Médio incompleto,25,1,1,1,1,1,4.0,100.0,4.0,4.0,4.0
202009,Setembro/2020,0-17,Masculino,Branca,Médio incompleto,2383,306,220,194,202,44,12.84,71.9,8.14,8.48,1.85
