ano_mes,mes_desc,uf,nome_uf,regiao,total_pessoas,qtd_sintomaticos,qtd_dificuldade_respirar,qtd_procurou_saude,qtd_internados,qtd_plano_saude,qtd_trabalhou,qtd_remoto,qtd_bolsa_familia,qtd_auxilio,qtd_ficou_em_casa,idade_media,pct_sintomaticos,pct_dificuldade_respirar,pct_procurou_saude,pct_internados,pct_plano_saude,pct_trabalhou,pct_remoto,pct_bolsa_familia,pct_auxilio,pct_ficou_em_casa
202009,Setembro/2020,53,Distrito Federal,Centro-Oeste,6386,188,48,99,1,139,2454,2606,380,369,2,36.6,2.94,0.75,1.55,0.02,2.18,38.43,40.81,5.95,5.78,0.03
202009,Setembro/2020,52,Goiás,Centro-Oeste,13942,500,143,235,4,407,5686,5904,823,1023,15,37.5,3.59,1.03,1.69,0.03,2.92,40.78,42.35,5.9,7.34,0.11
202009,Setembro/2020,51,Mato Grosso,Centro-Oeste,11638,333,88,190,8,221,4758,4942,660,777,11,35.5,2.86,0.76,1.63,0.07,1.9,40.88,42.46,5.67,6.68,0.09
202009,Setembro/2020,50,Mato Grosso do Sul,Centro-Oeste,9047,208,48,112,0,165,3825,3965,541,760,7,36.6,2.3,0.53,1.24,0.0,1.82,42.28,43.83,5.98,8.4,0.08
202009,Setembro/2020,27,Alagoas,Nordeste,11550,247,51,106,1,420,2984,2931,539,595,7,33.7,2.14,0.44,0.92,0.01,3.64,25.84,25.38,4.67,5.15,0.06
202009,Setembro/2020,29,Bahia,Nordeste,17506,413,48,173,2,247,5657,5370,948,1041,9,36.2,2.36,0.27,0.99,0.01,1.41,32.31,30.68,5.42,5.95,0.05
202009,Setembro/2020,23,Ceará,Nordeste,17568,407,55,144,3,671,5349,4986,861,1493,7,36.4,2.32,0.31,0.82,0.02,3.82,30.45,28.38,4.9,8.5,0.04
202009,Setembro/2020,21,Maranhão,Nordeste,20659,580,59,190,1,1174,5722,5406,733,1304,8,32.4,2.81,0.29,0.92,0.0,5.68,27.7,26.17,3.55,6.31,0.04
202009,Setembro/2020,25,Paraíba,Nordeste,10046,269,24,118,0,407,3018,3031,489,805,3,36.2,2.68,0.24,1.17,0.0,4.05,30.04,30.17,4.87,8.01,0.03
202009,Setembro/2020,26,Pernambuco,Nordeste,16806,311,47,132,1,428,5363,5284,786,903,11,35.3,1.85,0.28,0.79,0.01,2.55,31.91,31.44,4.68,5.37,0.07
202009,Setembro/2020,22,Piauí,Nordeste,8424,164,27,68,3,104,2785,2424,390,510,6,36.1,1.95,0.32,0.81,0.04,1.23,33.06,28.77,4.63,6.05,0.07
202009,Setembro/2020,24,Rio Grande do Norte,Nordeste,8039,195,23,71,0,222,2439,2482,524,545,4,36.5,2.43,0.29,0.88,0.0,2.76,30.34,30.87,6.52,6.78,0.05
202009,Setembro/2020,28,Sergipe,Nordeste,8226,261,34,108,1,243,2513,2558,826,664,3,34.2,3.17,0.41,1.31,0.01,2.95,30.55,31.1,10.04,8.07,0.04
202009,Setembro/2020,12,Acre,Norte,6414,151,27,46,0,52,1866,2020,365,294,1,32.8,2.35,0.42,0.72,0.0,0.81,29.09,31.49,5.69,4.58,0.02
202009,Setembro/2020,16,Amapá,Norte,2847,101,25,40,0,192,836,951,171,183,0,31.1,3.55,0.88,1.4,0.0,6.74,29.36,33.4,6.01,6.43,0.0
202009,Setembro/2020,13,Amazonas,Norte,10547,301,67,124,1,466,3395,3274,382,473,6,32.0,2.85,0.64,1.18,0.01,4.42,32.19,31.04,3.62,4.48,0.06
202009,Setembro/2020,15,Pará,Norte,12046,368,55,117,0,1118,4070,4089,449,931,3,33.0,3.05,0.46,0.97,0.0,9.28,33.79,33.94,3.73,7.73,0.02
202009,Setembro/2020,11,Rondônia,Norte,5178,147,31,41,0,99,2084,1992,254,317,2,35.6,2.84,0.6,0.79,0.0,1.91,40.25,38.47,4.91,6.12,0.04
202009,Setembro/2020,14,Roraima,Norte,5484,151,50,101,0,183,1622,1750,297,163,2,30.8,2.75,0.91,1.84,0.0,3.34,29.58,31.91,5.42,2.97,0.04
202009,Setembro/2020,17,Tocantins,Norte,5189,160,35,101,2,114,1919,1867,250,234,6,35.2,3.08,0.67,1.95,0.04,2.2,36.98,35.98,4.82,4.51,0.12
202009,Setembro/2020,32,Espírito Santo,Sudeste,15819,297,50,122,0,387,6332,6516,702,805,3,37.4,1.88,0.32,0.77,0.0,2.45,40.03,41.19,4.44,5.09,0.02
202009,Setembro/2020,31,Minas Gerais,Sudeste,34527,891,196,388,4,1080,13428,13655,1620,2356,21,38.5,2.58,0.57,1.12,0.01,3.13,38.89,39.55,4.69,6.82,0.06
